match,group,is_participating,start,end,content
1,32,yes,2586,2597,MICROSCOPIC
1,33,yes,2598,3066," spores 5-9 x 4.2-5.5 microns, variable in shape, often predominantly nearly round or broadly obovoid, but also sometimes mostly elliptic, or with intermediate forms, smooth, thin-walled, inamyloid, colorless^; basidia 4-spored, clavate, clamped, nearly colorless or in scattered individuals with fuscous sordid cellular contents, (Redhead), spores 6-8 x 3-4.5 microns, elliptic, (Moser), pleurocystidia and cheilocystidia absent; clamp connections present, (Watling)
"
1,34,yes,3066,3077,NAME ORIGIN
1,35,yes,3078,3080, 

1,36,yes,3080,3087,SIMILAR
1,37,yes,3088,3090, 

1,38,yes,3090,3097,SOURCES
1,39,yes,3097,3185,"  Redhead(7), Courtecuisse(1)*, Moser(1) (as Leptoglossum), Watling(2), Breitenbach(3)*
"
2,0,yes,3185,5944,"2
FAMILY  Tricholomataceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota
LATIN NAME(S)  Arrhenia auriscalpium  (Fr.) Fr.^  in Summa Vegetabilum Scandinaviae 312. 1849.
ENGLISH NAME(S)  
NOTES  Also listed in Gilled category. Features include small size, spathulate or fan-shaped light brown to almost black cap, with anastomosing radial folds on spore-bearing surface, rudimentary to elongated concolorous stem, and habitat on soil with moss cover.^ The description is derived from Redhead except where noted. RANGE Collections were examined from NWT, AK, and AZ, and it has been reported from AB (four different locations near the border with British Columbia in the Rocky Mountains area), Europe, Iceland, and Greenland, (Redhead). Arrhenia auriscalpium is to be expected at least in British Columbia. It is also found elsewhere in Europe including Switzerland (Breitenbach).
CHEMICAL REACTIONS  
CAP  0.2-1.1cm, ""initially cupulate or cochleariform with the hymenophore primordium apical or subapical, expanding unevenly on the upper or leading edge to become spathulate to flabelliform occasionally orbicular, or even more pronouncedly trullisate, if borne on an erect slender stipe often notably nutant"", margin incurved, ""at first even, later somewhat scalloped or vaguely lobed, sometimes slightly eroded""; light brown to nearly black; submembranous, moist to dry, mostly opaque to obscurely translucent
FLESH  brownish^ (Breitenbach)
UNDERSIDE  initially spore-bearing surface smooth, when old developing more or less radially arranged folds, with numerous interveined bridges or more irregular anastomoses and forks, often with puckered sides; colored as cap or paler; set off from stem by a raised ridge continuous with margin of cap
STEM  0.15-1cm x 0.05-0.15cm, varying from rudimentary to elongated, nearly lateral, usually equal; colored as cap or whitish toward base from mycelium 
ODOR  none^ (Breitenbach) 
TASTE  none^ (Breitenbach)
EDIBILITY  
HABITAT  sandy or peaty soil with sparse low often pioneering moss cover, in recently deglaciated sites or burn sites as well as tundra or arctic alpine sites
SPORE DEPOSIT  white^ (Breitenbach)
MICROSCOPIC  spores 5-10 x 4.2-6 microns, elliptic to oboval, oval, or almond-shaped, smooth, inamyloid, colorless, thin-walled^; basidia (2-)4-spored, 12-30(35) x 4.2-7.5(9) microns, clavate, clamped, almost colorless or in scattered collapsed individuals with fuscous contents, (Redhead), cystidia not seen; cap cuticle of parallel hyphae 5-14 microns across, ""occasional hyphal ends exserted and somewhat flexuous, brown-incrusted, septa with clamps"", (Breitenbach)
NAME ORIGIN  perhaps based on resemblance in stature to Auriscalpium
SIMILAR  
SOURCES  Redhead(7), Breitenbach(3)*
"
2,1,yes,3185,3187,2

2,2,yes,3187,3193,FAMILY
2,3,yes,3194,3274," Tricholomataceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota
"
2,4,yes,3274,3287,LATIN NAME(S)
2,5,yes,3288,3369, Arrhenia auriscalpium  (Fr.) Fr.^  in Summa Vegetabilum Scandinaviae 312. 1849.

2,6,yes,3369,3384,ENGLISH NAME(S)
2,7,yes,3385,3387, 

2,8,yes,3387,3392,NOTES
2,9,yes,3393,4079," Also listed in Gilled category. Features include small size, spathulate or fan-shaped light brown to almost black cap, with anastomosing radial folds on spore-bearing surface, rudimentary to elongated concolorous stem, and habitat on soil with moss cover.^ The description is derived from Redhead except where noted. RANGE Collections were examined from NWT, AK, and AZ, and it has been reported from AB (four different locations near the border with British Columbia in the Rocky Mountains area), Europe, Iceland, and Greenland, (Redhead). Arrhenia auriscalpium is to be expected at least in British Columbia. It is also found elsewhere in Europe including Switzerland (Breitenbach).
"
2,10,yes,4079,4097,CHEMICAL REACTIONS
2,11,yes,4098,4100, 

2,12,yes,4100,4103,CAP
2,13,yes,4104,4612," 0.2-1.1cm, ""initially cupulate or cochleariform with the hymenophore primordium apical or subapical, expanding unevenly on the upper or leading edge to become spathulate to flabelliform occasionally orbicular, or even more pronouncedly trullisate, if borne on an erect slender stipe often notably nutant"", margin incurved, ""at first even, later somewhat scalloped or vaguely lobed, sometimes slightly eroded""; light brown to nearly black; submembranous, moist to dry, mostly opaque to obscurely translucent
"
2,14,yes,4612,4617,FLESH
2,15,yes,4618,4643, brownish^ (Breitenbach)

2,16,yes,4643,4652,UNDERSIDE
2,17,yes,4653,4945," initially spore-bearing surface smooth, when old developing more or less radially arranged folds, with numerous interveined bridges or more irregular anastomoses and forks, often with puckered sides; colored as cap or paler; set off from stem by a raised ridge continuous with margin of cap
"
2,18,yes,4945,4949,STEM
2,19,no,-1,-1,
2,20,no,-1,-1,
2,21,yes,4950,5098," 0.15-1cm x 0.05-0.15cm, varying from rudimentary to elongated, nearly lateral, usually equal; colored as cap or whitish toward base from mycelium 
"
2,22,yes,5098,5102,ODOR
2,23,yes,5103,5125, none^ (Breitenbach) 

2,24,yes,5125,5130,TASTE
2,25,yes,5131,5152, none^ (Breitenbach)

2,26,yes,5152,5161,EDIBILITY
2,27,yes,5161,5164,  

2,28,yes,5164,5171,HABITAT
2,29,yes,5172,5323," sandy or peaty soil with sparse low often pioneering moss cover, in recently deglaciated sites or burn sites as well as tundra or arctic alpine sites
"
2,30,yes,5323,5336,SPORE DEPOSIT
2,31,yes,5336,5359,  white^ (Breitenbach)

2,32,yes,5359,5370,MICROSCOPIC
2,33,yes,5371,5828," spores 5-10 x 4.2-6 microns, elliptic to oboval, oval, or almond-shaped, smooth, inamyloid, colorless, thin-walled^; basidia (2-)4-spored, 12-30(35) x 4.2-7.5(9) microns, clavate, clamped, almost colorless or in scattered collapsed individuals with fuscous contents, (Redhead), cystidia not seen; cap cuticle of parallel hyphae 5-14 microns across, ""occasional hyphal ends exserted and somewhat flexuous, brown-incrusted, septa with clamps"", (Breitenbach)
"
2,34,yes,5828,5839,NAME ORIGIN
2,35,yes,5840,5897, perhaps based on resemblance in stature to Auriscalpium

2,36,yes,5897,5904,SIMILAR
2,37,yes,5905,5907, 

2,38,yes,5907,5914,SOURCES
2,39,yes,5914,5944,"  Redhead(7), Breitenbach(3)*
"
3,0,yes,5944,8747,"3
FAMILY  Tricholomataceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota
LATIN NAME(S)  Arrhenia lobata  (Pers.: Fr.) Kuehner & Lamoure ex Redhead^  in Can. J. Bot. 62: 871. 1984.;  Leptoglossum lobatum  (Pers.) Ricken
ENGLISH NAME(S)  
NOTES  Also listed in Gilled category. Features include 1) a small cap that is oval to fan-shaped or kidney-shaped, lobed, hygrophanous, and colored gray brown to yellow brown or lighter, often blackening on exposed margins or on drying, 2) anastomosing veins on spore-bearing surface, 3) off-center or lateral stem that is not well-formed, and 4) growth on moss.^ The description is derived from Redhead(7) except where stated. RANGE Collections of Arrhenia lobata were examined from BC, WA, OR, ID, MB, NF, NT, NU, ON, PQ, AK, CO, MI, NH, Czech Republic, Germany, Russia, Slovakia, Sweden, Turkey, Antarctica, (Redhead(7)), CA, MT, UT, (Redhead(6)), AK, YT, Germany, (Miller(13)), Switzerland (Breitenbach(3)), and Britain/Ireland (Buczacki(1)).
CHEMICAL REACTIONS  
CAP  0.5-4cm, rarely round, more often oboval, fan-shaped or kidney-shaped, rarely funnel-shaped by fusion of lateral lobes, membranous, margins incurved and remaining so, ""usually lobed, sometimes deeply incised, also crisped and crenulate in some""; hygrophanous, light gray brown to gray yellow brown or buff, fading when partially dry, often blackening on exposed margins or on complete drying; moist
FLESH  ""membranous, gelatinous and soft, elastically extensible""^, (Breitenbach)
UNDERSIDE  smooth when immature, soon with branched more or less radially arranged veins with numerous curving anastomosing lateral veins or more irregularly veined-wrinkled, often forking; colored as cap or paler
STEM  not well formed, attachment off-center or lateral, base may be whitish or just paler than cap, attached by whitish mycelium
ODOR  not distinctive
TASTE  not distinctive
EDIBILITY  
HABITAT  single to clustered on moss in wet sites, ""alpine sites or lowland bogs or fens often around the margins of pools"", (Redhead(7)), moss-associated, ""often found in fens, along streams, or in association with melting snow"", (Trudell)
SPORE DEPOSIT  white
MICROSCOPIC  spores 5-10(15) x 4.2-8.5, usually elliptic, oval, oboval, varying to tear-shaped, pear-shaped, almond-shaped or nearly round to round, smooth, inamyloid, colorless, thin-walled, always with a conspicuous blunt apiculus^; basidia 2-spored or 4-spored, 20-39 x 6-8.5 microns, clavate, clamped, nearly colorless at top, mostly with brownish bases, (Redhead(7)), pleurocystidia and cheilocystidia absent; clamp connections present, (Watling(2))
NAME ORIGIN  means 'lobed'
SIMILAR  Arrhenia retiruga lacks clamp connections.
SOURCES  Redhead(7), Redhead(6), Watling(2), Breitenbach(3)*, Trudell(4), Miller(13), Buczacki(1)*
"
3,1,yes,5944,5946,3

3,2,yes,5946,5952,FAMILY
3,3,yes,5953,6033," Tricholomataceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota
"
3,4,yes,6033,6046,LATIN NAME(S)
3,5,yes,6047,6179, Arrhenia lobata  (Pers.: Fr.) Kuehner & Lamoure ex Redhead^  in Can. J. Bot. 62: 871. 1984.;  Leptoglossum lobatum  (Pers.) Ricken

3,6,yes,6179,6194,ENGLISH NAME(S)
3,7,yes,6195,6197, 

3,8,yes,6197,6202,NOTES
3,9,yes,6203,6945," Also listed in Gilled category. Features include 1) a small cap that is oval to fan-shaped or kidney-shaped, lobed, hygrophanous, and colored gray brown to yellow brown or lighter, often blackening on exposed margins or on drying, 2) anastomosing veins on spore-bearing surface, 3) off-center or lateral stem that is not well-formed, and 4) growth on moss.^ The description is derived from Redhead(7) except where stated. RANGE Collections of Arrhenia lobata were examined from BC, WA, OR, ID, MB, NF, NT, NU, ON, PQ, AK, CO, MI, NH, Czech Republic, Germany, Russia, Slovakia, Sweden, Turkey, Antarctica, (Redhead(7)), CA, MT, UT, (Redhead(6)), AK, YT, Germany, (Miller(13)), Switzerland (Breitenbach(3)), and Britain/Ireland (Buczacki(1)).
"
3,10,yes,6945,6963,CHEMICAL REACTIONS
3,11,yes,6964,6966, 

3,12,yes,6966,6969,CAP
3,13,yes,6970,7370," 0.5-4cm, rarely round, more often oboval, fan-shaped or kidney-shaped, rarely funnel-shaped by fusion of lateral lobes, membranous, margins incurved and remaining so, ""usually lobed, sometimes deeply incised, also crisped and crenulate in some""; hygrophanous, light gray brown to gray yellow brown or buff, fading when partially dry, often blackening on exposed margins or on complete drying; moist
"
3,14,yes,7370,7375,FLESH
3,15,yes,7376,7451," ""membranous, gelatinous and soft, elastically extensible""^, (Breitenbach)
"
3,16,yes,7451,7460,UNDERSIDE
3,17,yes,7461,7665," smooth when immature, soon with branched more or less radially arranged veins with numerous curving anastomosing lateral veins or more irregularly veined-wrinkled, often forking; colored as cap or paler
"
3,18,yes,7665,7669,STEM
3,19,no,-1,-1,
3,20,no,-1,-1,
3,21,yes,7670,7795," not well formed, attachment off-center or lateral, base may be whitish or just paler than cap, attached by whitish mycelium
"
3,22,yes,7795,7799,ODOR
3,23,yes,7800,7817, not distinctive

3,24,yes,7817,7822,TASTE
3,25,yes,7823,7840, not distinctive

3,26,yes,7840,7849,EDIBILITY
3,27,yes,7849,7852,  

3,28,yes,7852,7859,HABITAT
3,29,yes,7860,8093," single to clustered on moss in wet sites, ""alpine sites or lowland bogs or fens often around the margins of pools"", (Redhead(7)), moss-associated, ""often found in fens, along streams, or in association with melting snow"", (Trudell)
"
3,30,yes,8093,8106,SPORE DEPOSIT
3,31,yes,8106,8114,  white

3,32,yes,8114,8125,MICROSCOPIC
3,33,yes,8126,8569," spores 5-10(15) x 4.2-8.5, usually elliptic, oval, oboval, varying to tear-shaped, pear-shaped, almond-shaped or nearly round to round, smooth, inamyloid, colorless, thin-walled, always with a conspicuous blunt apiculus^; basidia 2-spored or 4-spored, 20-39 x 6-8.5 microns, clavate, clamped, nearly colorless at top, mostly with brownish bases, (Redhead(7)), pleurocystidia and cheilocystidia absent; clamp connections present, (Watling(2))
"
3,34,yes,8569,8580,NAME ORIGIN
3,35,yes,8581,8596, means 'lobed'

3,36,yes,8596,8603,SIMILAR
3,37,yes,8604,8648, Arrhenia retiruga lacks clamp connections.

3,38,yes,8648,8655,SOURCES
3,39,yes,8655,8747,"  Redhead(7), Redhead(6), Watling(2), Breitenbach(3)*, Trudell(4), Miller(13), Buczacki(1)*
"
4,0,yes,8747,11765,"4
FAMILY  Tricholomataceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota
LATIN NAME(S)  Arrhenia retiruga  (Bull.: Fr.) Redhead^  Can. J. Bot. 62: 873. 1984;  Leptoglossum retirugum  (Bull.) Ricken
ENGLISH NAME(S)  
NOTES  Also listed in Gilled category. Features include small size, inverted cup-shape suspended from the crown of the cap or its edge, grayish white to buff to grayish brown color, spore bearing surface smooth or with anastomosing veins, and growth on moss.^ RANGE Collections were examined from BC, WA, OR, ID, ON, CA, MI, MT, NC, NY, PA, TN, Czechoslovakia, France, Germany, Sweden, Switzerland, USSR, and Tunisia, (Redhead).
CHEMICAL REACTIONS  
CAP  0.1-1cm, ""cyphelloid and radially symmetric or more often eccentrically fixed and bilaterally symmetric, mostly pendant"", sometimes deeply cup-shaped to bell-shaped but more often shallowly formed, ""when on robust mosses such as Polytrichum, quite often slightly ascending and reflexed"", nearly approaching a stemmed form but always with the spore-bearing surface delimited by a sterile margin, the margin incurved, usually becoming crisped and uneven when old; ""grayish-white to isabelline"" (Overholts 1940) or brownish gray (Reid 1963), to buff; moist to dry, smooth to rugose [wrinkled] in large specimens, (Redhead), 0.5-1cm, when old still like inverted bowl (""cyphella-like""), almost round, suspended at crown from various mosses; gray-whitish, (Moser), grayish white to grayish brown, fading quickly on drying, (Trudell)
FLESH  thin, delicate, or more fleshy; colored as cap^, (Redhead)
UNDERSIDE  spore-bearing surface ""smooth initially, often becoming only slightly rugose, usually more developed eccentrically, either with more or less radially disposed branched and forked veins with frequent anastomoses and sinose intervenose branches, or more elaborately reticulate-poroid with less development in the marginal areas""; colored as cap or slightly paler, (Redhead), darker, veined-netted (Moser)
STEM  ""The basal mycelium usually only a small weft but in more robust ascending forms sometimes sheathing moss leaves and stems in a tight bundle resembling a pseudostipe""^, (Redhead)
ODOR  not distinctive^ (Watling)
TASTE  not distinctive^ (Watling)
EDIBILITY  
HABITAT  on mosses, tree trunks, sometimes on twigs or leaves near mosses^, (Redhead)
SPORE DEPOSIT  white^ (Watling)
MICROSCOPIC  spores 6-9(11) x 3.2-5 microns, mostly short and cylindric to elliptic but varying to broadly elliptic or oboval, smooth, inamyloid, colorless, thin-walled, apiculus prominent^; basidia 4-spored, 18-28 x 6-8.5 microns, clavate, simple septate, (Redhead), spores almost rounded, to 10 microns, (Moser), basidia 2- or 4-spored, 20-35 x 6-7.5(9) microns, clavate, colorless with slightly pigmented base; pleurocystidia and cheilocystidia absent; clamp connections absent, (Watling)
NAME ORIGIN  
SIMILAR  Arrhenia lobata has clamp connections.
SOURCES  Redhead(7), Moser(1) (as Leptoglossum), Watling(2), Trudell(4)*, Buczacki(1)*
"
4,1,yes,8747,8749,4

4,2,yes,8749,8755,FAMILY
4,3,yes,8756,8836," Tricholomataceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota
"
4,4,yes,8836,8849,LATIN NAME(S)
4,5,yes,8850,8961, Arrhenia retiruga  (Bull.: Fr.) Redhead^  Can. J. Bot. 62: 873. 1984;  Leptoglossum retirugum  (Bull.) Ricken

4,6,yes,8961,8976,ENGLISH NAME(S)
4,7,yes,8977,8979, 

4,8,yes,8979,8984,NOTES
4,9,yes,8985,9408," Also listed in Gilled category. Features include small size, inverted cup-shape suspended from the crown of the cap or its edge, grayish white to buff to grayish brown color, spore bearing surface smooth or with anastomosing veins, and growth on moss.^ RANGE Collections were examined from BC, WA, OR, ID, ON, CA, MI, MT, NC, NY, PA, TN, Czechoslovakia, France, Germany, Sweden, Switzerland, USSR, and Tunisia, (Redhead).
"
4,10,yes,9408,9426,CHEMICAL REACTIONS
4,11,yes,9427,9429, 

4,12,yes,9429,9432,CAP
4,13,yes,9433,10262," 0.1-1cm, ""cyphelloid and radially symmetric or more often eccentrically fixed and bilaterally symmetric, mostly pendant"", sometimes deeply cup-shaped to bell-shaped but more often shallowly formed, ""when on robust mosses such as Polytrichum, quite often slightly ascending and reflexed"", nearly approaching a stemmed form but always with the spore-bearing surface delimited by a sterile margin, the margin incurved, usually becoming crisped and uneven when old; ""grayish-white to isabelline"" (Overholts 1940) or brownish gray (Reid 1963), to buff; moist to dry, smooth to rugose [wrinkled] in large specimens, (Redhead), 0.5-1cm, when old still like inverted bowl (""cyphella-like""), almost round, suspended at crown from various mosses; gray-whitish, (Moser), grayish white to grayish brown, fading quickly on drying, (Trudell)
"
4,14,yes,10262,10267,FLESH
4,15,yes,10268,10328," thin, delicate, or more fleshy; colored as cap^, (Redhead)
"
4,16,yes,10328,10337,UNDERSIDE
4,17,yes,10338,10742," spore-bearing surface ""smooth initially, often becoming only slightly rugose, usually more developed eccentrically, either with more or less radially disposed branched and forked veins with frequent anastomoses and sinose intervenose branches, or more elaborately reticulate-poroid with less development in the marginal areas""; colored as cap or slightly paler, (Redhead), darker, veined-netted (Moser)
"
4,18,yes,10742,10746,STEM
4,19,no,-1,-1,
4,20,no,-1,-1,
4,21,yes,10747,10927," ""The basal mycelium usually only a small weft but in more robust ascending forms sometimes sheathing moss leaves and stems in a tight bundle resembling a pseudostipe""^, (Redhead)
"
4,22,yes,10927,10931,ODOR
4,23,yes,10932,10960, not distinctive^ (Watling)

4,24,yes,10960,10965,TASTE
4,25,yes,10966,10994, not distinctive^ (Watling)

4,26,yes,10994,11003,EDIBILITY
4,27,yes,11003,11006,  

4,28,yes,11006,11013,HABITAT
4,29,yes,11014,11092," on mosses, tree trunks, sometimes on twigs or leaves near mosses^, (Redhead)
"
4,30,yes,11092,11105,SPORE DEPOSIT
4,31,yes,11105,11124,  white^ (Watling)

4,32,yes,11124,11135,MICROSCOPIC
4,33,yes,11136,11616," spores 6-9(11) x 3.2-5 microns, mostly short and cylindric to elliptic but varying to broadly elliptic or oboval, smooth, inamyloid, colorless, thin-walled, apiculus prominent^; basidia 4-spored, 18-28 x 6-8.5 microns, clavate, simple septate, (Redhead), spores almost rounded, to 10 microns, (Moser), basidia 2- or 4-spored, 20-35 x 6-7.5(9) microns, clavate, colorless with slightly pigmented base; pleurocystidia and cheilocystidia absent; clamp connections absent, (Watling)
"
4,34,yes,11616,11627,NAME ORIGIN
4,35,yes,11628,11630, 

4,36,yes,11630,11637,SIMILAR
4,37,yes,11638,11678, Arrhenia lobata has clamp connections.

4,38,yes,11678,11685,SOURCES
4,39,yes,11685,11765,"  Redhead(7), Moser(1) (as Leptoglossum), Watling(2), Trudell(4)*, Buczacki(1)*
"
